# observation_id: ca3ed6e2-7e49-11e9-9029-0a580a8003e9
# metadata: https://api.solarforecastarbiter.org/observations/ca3ed6e2-7e49-11e9-9029-0a580a8003e9/metadata
timestamp,value,quality_flag
20180102T17:30:00+0000,396.0,2
20180102T17:35:00+0000,371.0,2
20180102T17:40:00+0000,392.0,2
20180102T17:45:00+0000,379.0,2
20180102T17:50:00+0000,376.0,2
20180102T17:55:00+0000,368.0,2
20180102T18:00:00+0000,368.0,2
20180102T18:05:00+0000,363.0,2
20180102T18:10:00+0000,359.0,2
20180102T18:15:00+0000,351.0,2
20180102T18:20:00+0000,327.0,2
20180102T18:25:00+0000,281.0,2
20180102T18:30:00+0000,207.0,2
20180102T18:35:00+0000,225.0,2
20180102T18:40:00+0000,235.0,2
20180102T18:45:00+0000,226.0,2
20180102T18:50:00+0000,206.0,2
20180102T18:55:00+0000,212.0,2
20180102T19:00:00+0000,215.0,2
20180102T19:05:00+0000,186.0,2
20180102T19:10:00+0000,152.0,2
20180102T19:15:00+0000,148.0,2
20180102T19:20:00+0000,141.0,2
20180102T19:25:00+0000,143.0,2
20180102T19:30:00+0000,134.0,2
20180102T19:35:00+0000,131.0,2
20180102T19:40:00+0000,123.0,2
20180102T19:45:00+0000,114.0,2
20180102T19:50:00+0000,96.0,2
20180102T19:55:00+0000,87.0,2
20180102T20:00:00+0000,79.0,2
20180102T20:05:00+0000,65.0,2
20180102T20:10:00+0000,59.0,2
20180102T20:15:00+0000,55.0,2
20180102T20:20:00+0000,44.0,2
20180102T20:25:00+0000,34.0,2
20180102T20:30:00+0000,33.0,2
20180102T20:35:00+0000,24.0,2
20180102T20:40:00+0000,15.0,2
20180102T20:45:00+0000,9.0,2
20180102T20:50:00+0000,8.0,2
20180102T20:55:00+0000,7.0,2
20180102T21:00:00+0000,3.0,18
20180102T21:05:00+0000,0.0,18
20180102T21:10:00+0000,0.0,18
20180102T21:15:00+0000,0.0,18
20180102T21:20:00+0000,0.0,18
20180102T21:25:00+0000,0.0,18
20180102T21:30:00+0000,0.0,18
20180102T21:35:00+0000,0.0,18
20180102T21:40:00+0000,0.0,18
20180102T21:45:00+0000,0.0,18
20180102T21:50:00+0000,0.0,18
20180102T21:55:00+0000,0.0,18
20180102T22:00:00+0000,0.0,18
20180102T22:05:00+0000,0.0,18
20180102T22:10:00+0000,0.0,18
20180102T22:15:00+0000,0.0,18
20180102T22:20:00+0000,0.0,18
20180102T22:25:00+0000,0.0,18
20180102T22:30:00+0000,0.0,18
20180102T22:35:00+0000,0.0,18
20180102T22:40:00+0000,0.0,18
20180102T22:45:00+0000,0.0,18
20180102T22:50:00+0000,0.0,18
20180102T22:55:00+0000,0.0,18
20180102T23:00:00+0000,0.0,18
20180102T23:05:00+0000,0.0,18
20180102T23:10:00+0000,0.0,18
20180102T23:15:00+0000,0.0,18
20180102T23:20:00+0000,0.0,18
20180102T23:25:00+0000,0.0,18
20180102T23:30:00+0000,0.0,18
20180102T23:35:00+0000,0.0,18
20180102T23:40:00+0000,0.0,18
20180102T23:45:00+0000,0.0,18
20180102T23:50:00+0000,0.0,18
20180102T23:55:00+0000,0.0,18
20180103T00:00:00+0000,0.0,18
20180103T00:05:00+0000,0.0,18
20180103T00:10:00+0000,0.0,18
20180103T00:15:00+0000,0.0,18
20180103T00:20:00+0000,0.0,18
20180103T00:25:00+0000,0.0,18
20180103T00:30:00+0000,0.0,18
20180103T00:35:00+0000,0.0,18
20180103T00:40:00+0000,0.0,18
20180103T00:45:00+0000,0.0,18
20180103T00:50:00+0000,0.0,18
20180103T00:55:00+0000,0.0,18
20180103T01:00:00+0000,0.0,18
20180103T01:05:00+0000,0.0,18
20180103T01:10:00+0000,0.0,18
20180103T01:15:00+0000,0.0,18
20180103T01:20:00+0000,0.0,18
20180103T01:25:00+0000,0.0,18
20180103T01:30:00+0000,0.0,18
20180103T01:35:00+0000,0.0,18
20180103T01:40:00+0000,0.0,18
20180103T01:45:00+0000,0.0,18
20180103T01:50:00+0000,0.0,18
20180103T01:55:00+0000,0.0,18
20180103T02:00:00+0000,0.0,18
20180103T02:05:00+0000,0.0,18
20180103T02:10:00+0000,0.0,18
20180103T02:15:00+0000,0.0,18
20180103T02:20:00+0000,0.0,18
20180103T02:25:00+0000,0.0,18
20180103T02:30:00+0000,0.0,18
20180103T02:35:00+0000,0.0,18
20180103T02:40:00+0000,0.0,18
20180103T02:45:00+0000,0.0,18
20180103T02:50:00+0000,0.0,18
20180103T02:55:00+0000,0.0,18
20180103T03:00:00+0000,0.0,18
20180103T03:05:00+0000,0.0,18
20180103T03:10:00+0000,0.0,18
20180103T03:15:00+0000,0.0,18
20180103T03:20:00+0000,0.0,18
20180103T03:25:00+0000,0.0,18
20180103T03:30:00+0000,0.0,18
20180103T03:35:00+0000,0.0,18
20180103T03:40:00+0000,0.0,18
20180103T03:45:00+0000,0.0,18
20180103T03:50:00+0000,0.0,18
20180103T03:55:00+0000,0.0,18
20180103T04:00:00+0000,0.0,18
20180103T04:05:00+0000,0.0,18
20180103T04:10:00+0000,0.0,18
20180103T04:15:00+0000,0.0,18
20180103T04:20:00+0000,0.0,18
20180103T04:25:00+0000,0.0,18
20180103T04:30:00+0000,0.0,18
20180103T04:35:00+0000,0.0,18
20180103T04:40:00+0000,0.0,18
20180103T04:45:00+0000,0.0,18
20180103T04:50:00+0000,0.0,18
20180103T04:55:00+0000,0.0,18
20180103T05:00:00+0000,0.0,18
20180103T05:05:00+0000,0.0,18
20180103T05:10:00+0000,0.0,18
20180103T05:15:00+0000,0.0,18
20180103T05:20:00+0000,0.0,18
20180103T05:25:00+0000,0.0,18
20180103T05:30:00+0000,0.0,18
20180103T05:35:00+0000,0.0,18
20180103T05:40:00+0000,0.0,18
20180103T05:45:00+0000,0.0,18
20180103T05:50:00+0000,0.0,18
20180103T05:55:00+0000,0.0,18
20180103T06:00:00+0000,0.0,18
20180103T06:05:00+0000,0.0,18
20180103T06:10:00+0000,0.0,18
20180103T06:15:00+0000,0.0,18
20180103T06:20:00+0000,0.0,18
20180103T06:25:00+0000,0.0,18
20180103T06:30:00+0000,0.0,18
20180103T06:35:00+0000,0.0,18
20180103T06:40:00+0000,0.0,18
20180103T06:45:00+0000,0.0,18
20180103T06:50:00+0000,0.0,18
20180103T06:55:00+0000,0.0,18
20180103T07:00:00+0000,0.0,18
20180103T07:05:00+0000,0.0,18
20180103T07:10:00+0000,0.0,18
20180103T07:15:00+0000,0.0,18
20180103T07:20:00+0000,0.0,18
20180103T07:25:00+0000,0.0,18
20180103T07:30:00+0000,0.0,18
20180103T07:35:00+0000,0.0,18
20180103T07:40:00+0000,0.0,18
20180103T07:45:00+0000,0.0,18
20180103T07:50:00+0000,0.0,18
20180103T07:55:00+0000,0.0,18
20180103T08:00:00+0000,0.0,18
20180103T08:05:00+0000,0.0,18
20180103T08:10:00+0000,0.0,18
20180103T08:15:00+0000,0.0,18
20180103T08:20:00+0000,0.0,18
20180103T08:25:00+0000,0.0,18
20180103T08:30:00+0000,0.0,18
20180103T08:35:00+0000,0.0,18
20180103T08:40:00+0000,0.0,18
20180103T08:45:00+0000,0.0,18
20180103T08:50:00+0000,0.0,18
20180103T08:55:00+0000,0.0,18
20180103T09:00:00+0000,0.0,18
20180103T09:05:00+0000,0.0,18
20180103T09:10:00+0000,0.0,18
20180103T09:15:00+0000,0.0,18
20180103T09:20:00+0000,0.0,18
20180103T09:25:00+0000,0.0,18
20180103T09:30:00+0000,0.0,18
20180103T09:35:00+0000,0.0,18
20180103T09:40:00+0000,0.0,18
20180103T09:45:00+0000,0.0,18
20180103T09:50:00+0000,0.0,18
20180103T09:55:00+0000,0.0,18
20180103T10:00:00+0000,0.0,18
20180103T10:05:00+0000,0.0,18
20180103T10:10:00+0000,0.0,18
20180103T10:15:00+0000,0.0,18
20180103T10:20:00+0000,0.0,18
20180103T10:25:00+0000,0.0,18
20180103T10:30:00+0000,0.0,18
20180103T10:35:00+0000,0.0,18
20180103T10:40:00+0000,0.0,18
20180103T10:45:00+0000,0.0,18
20180103T10:50:00+0000,0.0,18
20180103T10:55:00+0000,0.0,18
20180103T11:00:00+0000,0.0,18
20180103T11:05:00+0000,0.0,18
